,page_url,bedrooms,baths,garage,date,price,location,property,area_marla,area_sqft
95,https://www.graana.com/property/islamabad-f-8-4-666-sqyd-lower-portion-for-rent-603982,3,4,4,April 7 2022,250000,F-8/4 ,Lower Portion ,2.446272006347084,665.8752401276763
96,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-603709,4,5,3,April 7 2022,700000,F-7 ,House ,1.836540545305619,499.9063364321895
97,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-603348,3,3,1,April 6 2022,180000,DHA Phase 2 ,House ,20.0,5444.0
98,https://www.graana.com/property/islamabad-e-7-666-sqyd-house-for-rent-603775,2,2,1,April 6 2022,400000,E-7 ,House ,2.446272006347084,665.8752401276763
99,https://www.graana.com/property/islamabad-f-6-444-sqyd-house-for-rent-603639,5,6,3,April 6 2022,750000,F-6 ,House ,1.6308480042313895,443.9168267517842
100,https://www.graana.com/property/islamabad-f-6-2-14-marla-upper-portion-for-rent-274672,3,3,1,April 5 2022,268000,F-6/2 ,Upper Portion ,14.0,3810.8
101,https://www.graana.com/property/islamabad-f-6-1-kanal-house-for-rent-467145,3,4,8,April 5 2022,250000,F-6 ,House ,20.0,5444.0
102,https://www.graana.com/property/islamabad-f-6-3-2-kanal-house-for-rent-481634,8,8,2,April 5 2022,1400000,F-6/3 ,House ,40.0,10888.0
103,https://www.graana.com/property/islamabad-f-6-3-14-marla-house-for-rent-485499,6,6,1,April 5 2022,721000,F-6/3 ,House ,14.0,3810.8
104,https://www.graana.com/property/islamabad-f-6-3-1-kanal-house-for-rent-283613,5,5,1,April 5 2022,478000,F-6/3 ,House ,20.0,5444.0
105,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283611,4,5,0,April 5 2022,432000,F-6/1 ,House ,18.0,4899.599999999999
106,https://www.graana.com/property/islamabad-f-6-1-18-marla-house-for-rent-283578,3,3,1,April 5 2022,282000,F-6/1 ,House ,18.0,4899.599999999999
107,https://www.graana.com/property/islamabad-e-11-5-marla-lower-portion-for-rent-602391,2,2,1,April 5 2022,25000,E-11 ,Lower Portion ,5.0,1361.0
108,https://www.graana.com/property/islamabad-e-11-450-sqft-apartment-for-rent-602392,1,1,1,April 5 2022,11000,E-11 ,Apartment ,1.652886490775057,449.91570278897046
109,https://www.graana.com/property/islamabad-e-11-1550-sqft-penthouse-for-rent-597182,2,2,1,April 4 2022,150000,E-11 ,Penthouse ,5.693275690447418,1549.7096429397873
