Price,total_area,url,beds,baths,garage,location,date
PKR 5 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-house-for-rent-604426,6,6,1,F-6/1 Islamabad,April 8 2022
PKR 2.7 lac,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-house-for-rent-604420,3,3,2,F-6/1 Islamabad,April 8 2022
PKR 2.75 lac,3000 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-g-5-3000-sqft-apartment-for-rent-605510,2,3,2,G-5 Islamabad,April 8 2022
PKR 15 lac,1000 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-3-1000-sqyd-house-for-rent-605544,7,8,7,F-7/3 Islamabad,April 8 2022
PKR 2.5 lac,1500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-7-1500-sqft-apartment-for-rent-605491,1,1,1,E-7 Islamabad,April 8 2022
PKR 2.1 lac,12 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-house-for-rent-493286,6,7,3,G-13 Islamabad,April 6 2022
PKR 50000,10 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-basement-for-rent-494272,3,3,1,G-13 Islamabad,April 6 2022
PKR 80000,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-10-marla-lower-portion-for-rent-493283,3,3,1,G-13 Islamabad,April 6 2022
PKR 80000,12 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-12-marla-lower-portion-for-rent-494271,3,3,1,G-13 Islamabad,April 6 2022
PKR 2.88 lac,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-2-14-marla-lower-portion-for-rent-274662,3,3,1,F-6/2 Islamabad,April 5 2022
PKR 2.78 lac,18 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-3-18-marla-lower-portion-for-rent-283558,3,3,1,F-6/3 Islamabad,April 5 2022
PKR 2.76 lac,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-14-marla-lower-portion-for-rent-274684,3,3,1,F-6 Islamabad,April 5 2022
PKR 1.3 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-18-marla-upper-portion-for-rent-475605,2,2,0,F-6 Islamabad,April 5 2022
PKR 1.2 lac,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-kanal-upper-portion-for-rent-283861,2,2,1,F-6 Islamabad,April 5 2022
PKR 1.8 lac,500 Sq. Yd. Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-500-sqyd-upper-portion-for-rent-329769,3,3,2,F-6 Islamabad,April 5 2022
PKR 1.65 lac,2 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-4-2-kanal-upper-portion-for-rent-379034,3,3,5,F-6/4 Islamabad,April 5 2022
PKR 2.98 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283510,3,4,1,F-6/1 Islamabad,April 5 2022
PKR 2.98 lac,18 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-18-marla-upper-portion-for-rent-283619,3,4,2,F-6/1 Islamabad,April 5 2022
PKR 2.9 lac,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-14-marla-upper-portion-for-rent-283608,3,3,1,F-6 Islamabad,April 5 2022
