,page_url,property_type,price,location,city,baths,area_marla,area_sqft,bedrooms
15,https://www.zameen.com/Property/islamabad_f_17_luxury_flat_825_sq__ft_at_investor_rate-4165171-335-1.html,Flat,3200000,F-17,Islamabad,2,3.7,1007.33,2
16,https://www.zameen.com/Property/islamabad_i_12_pha_i_12_1_scheme__d_type_flat_for_sale-4333092-1418-1.html,Flat,3965000,I-12,Islamabad,2,4.2,1143.45,2
17,https://www.zameen.com/Property/f_10_f_10_3_two_bed_apartment_for_sale-4390797-3278-1.html,Flat,7800000,F-10,Islamabad,2,5.8,1579.06,2
18,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bed_apartment_1366_sq_ft__for_sale-4858041-1705-1.html,Flat,8000000,Bahria Town,Islamabad,2,6.1,1660.73,2
19,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale-4931494-329-1.html,Flat,5000000,E-11,Islamabad,2,4.0,1089.0,2
20,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale__possession_in_december-4931495-329-1.html,Flat,3600000,E-11,Islamabad,1,3.1,843.98,1
21,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale_in_4_years_installment-4931496-329-1.html,Flat,4800000,E-11,Islamabad,2,4.0,1089.0,2
22,https://www.zameen.com/Property/e_11_e_11_4_ground_floor_flat_for_sale_in_e_11_1_islamabad_main_margala-5001565-3241-1.html,Flat,5000000,E-11,Islamabad,0,3.8,1034.55,0
23,https://www.zameen.com/Property/g_11_g_11_4_pha_d_type_flat_is_available_for_sale_g_11_4-5164651-3333-1.html,Flat,7000000,G-11,Islamabad,1,4.0,1089.0,2
24,https://www.zameen.com/Property/islamabad_jinnah_avenue_elysuim_tower__we_offer_2_bed_apartment_for_sale_on_easy_installments-5359816-1709-1.html,Flat,27900000,Jinnah Avenue,Islamabad,2,6.9,1878.53,2
25,https://www.zameen.com/Property/islamabad_jinnah_avenue_f_8_elysium_tower_blue_area_we_offer_1_bed_apartment_for_sale_very_reasonable_price_on_easy_installments-5360448-1709-1.html,Flat,18400000,Jinnah Avenue,Islamabad,1,4.3,1170.68,1
26,https://www.zameen.com/Property/islamabad_jinnah_avenue_2_bed_flat_on_easy_installments_in_elysium_tower_blue_area_front_of_centaurus_and_pims_hospital-5365660-1709-1.html,Flat,27100000,Jinnah Avenue,Islamabad,2,6.6,1796.86,2
27,https://www.zameen.com/Property/e_11_e_11_4_flat_is_available_for_sale_in_e11_main_margalla-5663594-3241-1.html,Flat,9900000,E-11,Islamabad,3,7.6,2069.11,3
28,https://www.zameen.com/Property/bahria_town_bahria_enclave_sector_c_1_bed_apartment_for_office_on_main_enclave_avenue_opposite_zoo_bahria_enclave_islamabad-5958535-1705-1.html,Flat,4800000,Bahria Town,Islamabad,1,2.9,789.53,1
29,https://www.zameen.com/Property/gulberg_greens_karakoram_greens_gulberg_greens_islamabad_karakoram__2_beds_luxury_apartment_for_sale-6020857-11832-1.html,Flat,12500000,Gulberg,Islamabad,2,6.9,1878.53,2
30,https://www.zameen.com/Property/islamabad_diplomatic_enclave_3_beds_fully_furnished_apartment_for_sale_in_diplomatic_enclave-6132587-429-1.html,Flat,48000000,Diplomatic Enclave,Islamabad,2,11.1,3021.99,3
31,https://www.zameen.com/Property/bahria_town_bahria_enclave_islamabad_bahria_enclave_two_bedroom_flat_on_easy_18_months_installment_plan_for_sale-6265851-1705-1.html,Flat,5656000,Bahria Town,Islamabad,2,3.6,980.1,2
32,https://www.zameen.com/Property/islamabad_e_11_royal_apartment_for_sale-6271232-329-1.html,Flat,5800000,E-11,Islamabad,2,4.1,1116.23,2
33,https://www.zameen.com/Property/f_11_f_11_markaz_f_11_size_3700_square_feet_karakoram_enclave_4_bedrooms_apartment_for_sale-6282364-3286-1.html,Flat,42000000,F-11,Islamabad,4,16.4,4464.92,4
34,https://www.zameen.com/Property/islamabad_diplomatic_enclave_apartment_is_urgent_for_sale_2_beds_fully_furnished-6468068-429-1.html,Flat,33000000,Diplomatic Enclave,Islamabad,3,8.0,2178.01,2
35,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_askari_tower_2__4_bedrooms_flat_for_sale-6472689-10663-1.html,Flat,15000000,DHA Defence,Islamabad,8,12.0,3267.01,4
36,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_2_dha_2_islamabad_flat_for_sale-6594235-11905-1.html,Flat,15500000,DHA Defence,Islamabad,4,10.0,2722.51,3
37,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_askari_towers_2_dha_2_islamabad_3_bedrooms_flat_for_sale-6601202-10663-1.html,Flat,15000000,DHA Defence,Islamabad,4,10.0,2722.51,3
38,https://www.zameen.com/Property/g_11_g_11_3_g_11_3_housing_foundation_c_type_1st_floor_apartment_investor_price-6636158-3332-1.html,Flat,10500000,G-11,Islamabad,3,4.9,1334.03,3
39,https://www.zameen.com/Property/g_7_g_7_1_flat_for_sale_at_zero_point-6636850-3369-1.html,Flat,12500000,G-7,Islamabad,2,5.8,1579.06,3
40,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_3_bed_flat_with_view_for_sale_in_askari_towers_1-6806297-10663-1.html,Flat,15500000,DHA Defence,Islamabad,4,10.0,2722.51,3
41,https://www.zameen.com/Property/f_10_silver_oaks_apartments_flat_is_available_for_sale_silver_oaks_apartments-6861022-11308-1.html,Flat,35000000,F-10,Islamabad,3,10.0,2722.51,3
42,https://www.zameen.com/Property/islamabad_diplomatic_enclave_flat_for_sale_in_diplomatic_enclave-6891342-429-1.html,Flat,46000000,Diplomatic Enclave,Islamabad,2,8.9,2423.03,2
43,https://www.zameen.com/Property/islamabad_e_11_2_bedrooms_apartment_e_11_1-6974465-329-1.html,Flat,4500000,E-11,Islamabad,2,4.7,1279.58,2
44,https://www.zameen.com/Property/f_8_the_centaurus_luxury_apartment_available_for_sale-7009953-8349-1.html,Flat,55000000,F-8,Islamabad,0,11.7,3185.34,3
45,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_2_beds_apartment_on_first_floor_for_rent_in_dha_phase_2-4606306-8399-4.html,Flat,17000,DHA Defence,Islamabad,1,4.0,1089.0,2
46,https://www.zameen.com/Property/islamabad_i_11_d_type_pha_flat_for_rent_on_main_gate_and_double_road_owner-5442936-706-4.html,Flat,20500,I-11,Islamabad,2,4.4,1197.9,2
47,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_defence_residency_2_bed_brand_new_flat_for_rent_in_dha_phase_2-5519354-9914-4.html,Flat,17000,DHA Defence,Islamabad,2,3.6,980.1,2
48,https://www.zameen.com/Property/i_8_i_8_markaz_2nd_floor_flat_is_available_for_rent-5878767-3445-4.html,Flat,75000,I-8,Islamabad,2,5.1,1388.48,0
49,https://www.zameen.com/Property/islamabad_f_11_flat_available_for_rent-6130387-163-4.html,Flat,60000,F-11,Islamabad,0,6.2,1687.96,2
50,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_3_bed_brand_new_flat_available_for_rent_in_dha_defence_phase_2__askari_tower_islamabad-6288959-339-4.html,Flat,43000,DHA Defence,Islamabad,3,11.6,3158.11,3
51,https://www.zameen.com/Property/islamabad_e_11_unfurnished_apartment_available_for_rent-6397876-329-4.html,Flat,25000,E-11,Islamabad,1,2.2,598.95,1
52,https://www.zameen.com/Property/islamabad_e_11_furnished_apartment_available_for_rent-6397877-329-4.html,Flat,35000,E-11,Islamabad,1,2.2,598.95,1
53,https://www.zameen.com/Property/islamabad_e_11_unfurnished_apartment_available_for_rent-6397878-329-4.html,Flat,35000,E-11,Islamabad,2,5.3,1442.93,2
54,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_2_dha_2_islamabad_flat_for_rent-6472791-11905-4.html,Flat,40000,DHA Defence,Islamabad,4,10.0,2722.51,3
55,https://www.zameen.com/Property/e_11_e_11_4_3_bed_room_with_tv_lounge_flat_for_rent-6653703-3241-4.html,Flat,40000,E-11,Islamabad,3,4.4,1197.9,3
56,https://www.zameen.com/Property/islamabad_diplomatic_enclave_mediterranean_apartment_2_room_fully_furnished_ground_floor-7029240-429-1.html,Flat,43000000,Diplomatic Enclave,Islamabad,2,6.7,1824.08,2
57,https://www.zameen.com/Property/f_8_the_centaurus_3_bed_luxury_apartment_fully_furnished_available_in_centaurus-7029493-8349-1.html,Flat,52500000,F-8,Islamabad,0,11.7,3185.34,3
58,https://www.zameen.com/Property/f_8_the_centaurus_1_bed_luxurious_apartment_in_centaurus_full_furnished_with_exotic_view_available_for_sale-7078169-8349-1.html,Flat,27500000,F-8,Islamabad,0,5.1,1388.48,1
59,https://www.zameen.com/Property/f_10_silver_oaks_apartments_silver_oaks_2_bed_compact_flat_for_sale-7294473-11308-1.html,Flat,25000000,F-10,Islamabad,1,4.4,1197.9,2
60,https://www.zameen.com/Property/f_8_the_centaurus_studio_apartment_available_for_sale_in_centaurus_islamabad-7327071-8349-1.html,Flat,16500000,F-8,Islamabad,1,3.0,816.75,1
61,https://www.zameen.com/Property/f_8_the_centaurus_centaurus_luxury_apartments_now_available_on_installments_with_immediate_possession-7367176-8349-1.html,Flat,29500000,F-8,Islamabad,2,6.7,1824.08,2
62,https://www.zameen.com/Property/islamabad_bani_gala_luxurious_2_bed_rooms_apartment_with_rawal_lake_view_in_bani_gala-7396739-340-1.html,Flat,7500000,Bani Gala,Islamabad,3,7.1,1932.98,2
63,https://www.zameen.com/Property/islamabad_diplomatic_enclave_studio_apartment_for_sale_in_diplomatic_enclave_islamabad-7398013-429-1.html,Flat,10000000,Diplomatic Enclave,Islamabad,1,2.0,544.5,1
64,https://www.zameen.com/Property/islamabad_diplomatic_enclave_newly_renovated_fully_furnished_studio_apartment_for_sale_in_diplomatic_enclave_islamabad-7430314-429-1.html,Flat,10000000,Diplomatic Enclave,Islamabad,0,2.2,598.95,0
65,https://www.zameen.com/Property/f_8_the_centaurus_new_apartments_available_in_centaurus_on_installment_plan-7437922-8349-1.html,Flat,31100000,F-8,Islamabad,0,5.1,1388.48,1
66,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_flat_for_sale__at_good_location-7539518-3075-1.html,Flat,12500000,DHA Defence,Islamabad,3,8.9,2423.03,3
67,https://www.zameen.com/Property/g_11_g_11_3_g_11_3_flat_1100_sq_ft_1st_floor_corner_maine_road-7664843-3332-1.html,Flat,8500000,G-11,Islamabad,3,4.9,1334.03,3
68,https://www.zameen.com/Property/islamabad_b_17_flat_is_available_b_square_at_2nd_floor_price_29_97_lac-7734407-616-1.html,Flat,2997000,B-17,Islamabad,2,3.0,816.75,2
69,https://www.zameen.com/Property/d_17_pine_heights_luxury_apartments_pine_heights_luxury_apartment_d_17_2_islamabad-7794771-9684-1.html,Flat,9500000,D-17,Islamabad,3,7.1,1932.98,3
70,https://www.zameen.com/Property/dha_defence_phase_2_lignum_tower_2_bedroom_flat_in_lignum_tower-7849021-9913-1.html,Flat,6500000,DHA Defence,Islamabad,2,6.3,1715.18,2
71,https://www.zameen.com/Property/bahria_town_bahria_enclave_2_bedroom_apartment_for_sale_in_medina_mall_and_residency-7891200-1705-1.html,Flat,8800000,Bahria Town,Islamabad,2,6.1,1660.73,2
72,https://www.zameen.com/Property/g_13_1_lifestyle_residency_c_category_floor_no_13_lifestyle_residency_flat_for_sale-7897928-10664-1.html,Flat,3500000,G-13,Islamabad,0,5.9,1606.28,2
73,https://www.zameen.com/Property/islamabad_the_springs_separate_apartment_on_lower_ground_at_islamabad_expressway_gated_cctv_fully_secured-7913392-8153-1.html,Flat,10000000,The Springs,Islamabad,2,5.8,1579.06,2
74,https://www.zameen.com/Property/soan_garden_soan_garden_block_e_flat_for_sale-7923287-3495-1.html,Flat,3300000,Soan Garden,Islamabad,2,3.3,898.43,2
75,https://www.zameen.com/Property/dha_defence_phase_2_lignum_tower_dha_islamabad_lignum_tower_3_bed_apartment_for_sale-7961504-9913-1.html,Flat,11500000,DHA Defence,Islamabad,4,13.0,3539.26,3
76,https://www.zameen.com/Property/gulberg_gulberg_greens_samama_star_3_bed_apartment_1103_sq_feet_third_floor-7981169-8312-1.html,Flat,7800000,Gulberg,Islamabad,2,4.9,1334.03,3
77,https://www.zameen.com/Property/g_13_g_13_4_life_style_residency_flat_for_sale-7985365-3340-1.html,Flat,3900000,G-13,Islamabad,2,4.2,1143.45,1
78,https://www.zameen.com/Property/islamabad_islamabad_highway_apartment_for_sale_in_islamabad_highway-8040120-1561-1.html,Flat,1800000,Islamabad Highway,Islamabad,1,1.6,435.6,1
79,https://www.zameen.com/Property/islamabad_f_8_super_apartment_for_sale-8066527-166-1.html,Flat,17500000,F-8,Islamabad,0,8.0,2178.01,0
80,https://www.zameen.com/Property/pir_sohawa_highland_resort_stunning_apartment_is_available_for_sale_in_highland_resort_islamabad-8088871-11110-1.html,Flat,5000000,Pir Sohawa,Islamabad,1,2.6,707.85,1
81,https://www.zameen.com/Property/dha_defence_phase_2_defence_executive_apartments_apartment_is_available_for_sale-8132300-9615-1.html,Flat,9500000,DHA Defence,Islamabad,0,9.1,2477.48,3
82,https://www.zameen.com/Property/islamabad_f_10_park_towers_f10__luxurious_flat_for_sale-8144980-162-1.html,Flat,12900000,F-10,Islamabad,0,8.9,2423.03,3
83,https://www.zameen.com/Property/g_11_g_11_4_pha_c_type_flat_in_g_11-8145104-3333-1.html,Flat,10500000,G-11,Islamabad,0,4.0,1089.0,2
84,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_study_apartment_fully_furnished_apartment_in_centaurus_with_exotic_view-7028238-8349-4.html,Flat,160000,F-8,Islamabad,0,6.7,1824.08,1
85,https://www.zameen.com/Property/f_8_the_centaurus_3_bed_furnished_top_floor_apartment_with_exotic_view_of_margala_hills_available_in_centaurus_islamabad-7028316-8349-4.html,Flat,350000,F-8,Islamabad,0,11.7,3185.34,3
86,https://www.zameen.com/Property/f_8_the_centaurus_2_bed_fully_furnished_luxury_apartment_in_centaurus_beautiful_view-7029450-8349-4.html,Flat,225000,F-8,Islamabad,0,9.0,2450.26,2
87,https://www.zameen.com/Property/f_8_the_centaurus_1_bed_luxurious_apartment_in_centaurus_full_furnished_with_exotic_view-7078153-8349-4.html,Flat,150000,F-8,Islamabad,0,5.1,1388.48,1
88,https://www.zameen.com/Property/islamabad_f_11_f_11_al_safa_2_2800_sq__feet_2_bedroom_beautiful_fully_furnished_apartment_available_for_rent-7101001-163-4.html,Flat,65000,F-11,Islamabad,2,12.4,3375.91,2
89,https://www.zameen.com/Property/f_8_the_centaurus_three_bed_fully_furnished_apartment_available_for_rent_margalla_view-7117350-8349-4.html,Flat,250000,F-8,Islamabad,0,11.7,3185.34,3
90,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_apartment_available_in_centaurus_at_reasonable_rate_margala_view-7140109-8349-4.html,Flat,140000,F-8,Islamabad,0,3.9,1061.78,1
91,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_apartment_available_for_rent_available_at_reasonable_rental-7140212-8349-4.html,Flat,140000,F-8,Islamabad,0,5.1,1388.48,1
92,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_study_apartment_for_rent_fully_furnished-7175059-8349-4.html,Flat,180000,F-8,Islamabad,0,6.7,1824.08,1
93,https://www.zameen.com/Property/islamabad_f_8_flat_is_available_for_rent-7203601-166-4.html,Flat,65000,F-8,Islamabad,0,2.9,789.53,2
94,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_3_beds_with_servant_room_fully_furnished_apartment__karakoram_diplomatic_enclave-7327037-9063-4.html,Flat,250000,Karakoram Diplomatic Enclave,Islamabad,2,11.8,3212.56,2
95,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_2_bed_apartment_with_servant_room_fully_furnished_available_in_diplomatic_enclave-7327046-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,2,8.9,2423.03,2
96,https://www.zameen.com/Property/f_8_the_centaurus_one_bed_fully_furnished_apartment_available_for_rent_at_reasonable_price-7327084-8349-4.html,Flat,140000,F-8,Islamabad,0,5.1,1388.48,1
97,https://www.zameen.com/Property/islamabad_e_11_full_furnished_2_bed_apartment_available_for_rent-7648027-329-4.html,Flat,45000,E-11,Islamabad,2,5.6,1524.61,2
98,https://www.zameen.com/Property/f_11_executive_heights_f_11_executive_heights__apartments_is_available_for_rent-7854616-10658-4.html,Flat,60000,F-11,Islamabad,2,5.9,1606.28,2
99,https://www.zameen.com/Property/f_10_silver_oaks_apartments_f_10_silver_oaks_apartment_is_available_for_rent-7854619-11308-4.html,Flat,130000,F-10,Islamabad,3,9.3,2531.93,3
100,https://www.zameen.com/Property/e_11_1_mpchs_islamabad_garden_1800_sqft_apartments_in_e_11_1_margalla_hills_international_is_available_for_rent-7883280-3231-4.html,Flat,66000,E-11,Islamabad,3,8.0,2178.01,3
101,https://www.zameen.com/Property/f_11_karakoram_enclave_2_f_11_luxury_fully_unfurnished_apartment_for_rent-7941189-10899-4.html,Flat,190000,F-11,Islamabad,4,17.3,4709.94,4
102,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_karakoram_diplomatic_enclave_luxury_apartments_2_bed_and_3_bed_furnished_unfurnished-8091604-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,0,8.4,2286.91,0
103,https://www.zameen.com/Property/islamabad_karakoram_diplomatic_enclave_karakoram_diplomatic_enclave_sector_g5_luxurious_apartments_2_and_3_bed_furnished_unfurnished-8091654-9063-4.html,Flat,190000,Karakoram Diplomatic Enclave,Islamabad,3,8.4,2286.91,2
104,https://www.zameen.com/Property/f_8_the_centaurus_apartment_is_available_for_rent_in_the_centaurus_islamabad-8092149-8349-4.html,Flat,140000,F-8,Islamabad,0,3.9,1061.78,1
105,https://www.zameen.com/Property/f_8_the_centaurus_apartment_for_rent_in_the_centaurus_islamabad-8092158-8349-4.html,Flat,220000,F-8,Islamabad,0,9.0,2450.26,2
106,https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_2_bedroom_fully_furnished_apartment_available_for_rent-8146872-429-4.html,Flat,100000,Diplomatic Enclave,Islamabad,0,6.2,1687.96,2
107,https://www.zameen.com/Property/g_11_g_11_4_first_floor_flat_for_sale_in_pha_apartments_c_type-8171770-3333-1.html,Flat,9500000,G-11,Islamabad,2,4.0,1089.0,2
108,https://www.zameen.com/Property/islamabad_diplomatic_enclave_3_bedrooms_apartment_for_sale_in_diplomatic_enclave-8173979-429-1.html,Flat,62500000,Diplomatic Enclave,Islamabad,4,11.6,3158.11,3
109,https://www.zameen.com/Property/islamabad_f_11_apartment_for_sale-8182499-163-1.html,Flat,18500000,F-11,Islamabad,3,12.4,3375.91,3
110,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_tower_2_6th_apartment_is_available_for_sale-8209785-11905-1.html,Flat,16500000,DHA Defence,Islamabad,3,10.0,2722.51,3
111,https://www.zameen.com/Property/g_11_g_11_4_3rd_floor_apartment_for_sale-8218642-3333-1.html,Flat,6400000,G-11,Islamabad,0,4.0,1089.0,0
112,https://www.zameen.com/Property/f_11_f_11_1_4_bedroom_apartment_for_sale-8218853-3282-1.html,Flat,23000000,F-11,Islamabad,0,12.4,3375.91,4
113,https://www.zameen.com/Property/islamabad_e_11_flat_is_available_for_sale-8219652-329-1.html,Flat,4900000,E-11,Islamabad,2,3.3,898.43,2
114,https://www.zameen.com/Property/islamabad_e_11_1_bed_lounge_flat_for_sale_direct_owner-8219689-329-1.html,Flat,2800000,E-11,Islamabad,1,1.7,462.83,1
115,https://www.zameen.com/Property/islamabad_g_13_lifestyle_residency_g_13_islamabad__e_type_flat__950_sq__ft-8219856-330-1.html,Flat,2000000,G-13,Islamabad,0,4.2,1143.45,1
116,https://www.zameen.com/Property/islamabad_diplomatic_enclave_diplomatic_enclave_3_bed_room_2nd_floor_corner_flat_for_sale-8228750-429-1.html,Flat,25000000,Diplomatic Enclave,Islamabad,3,7.8,2123.56,3
117,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_2_beds_apartment_for_sale_in_dha_islamabad-8228758-9914-1.html,Flat,3600000,DHA Defence,Islamabad,2,3.6,980.1,2
118,https://www.zameen.com/Property/islamabad_diplomatic_enclave_studio_apartment_for_sale_in_diplomatic_enclave-8230957-429-1.html,Flat,10500000,Diplomatic Enclave,Islamabad,1,2.2,598.95,1
119,https://www.zameen.com/Property/islamabad_e_11_3_bed_luxury_apartment_at_khudadad_heights_iqbal_avenue_e_11-8249383-329-1.html,Flat,8000000,E-11,Islamabad,3,8.4,2286.91,3
120,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_f_flat_at_business_avenue_dha_1-8272319-8226-1.html,Flat,12500000,DHA Defence,Islamabad,3,8.9,2423.03,3
121,https://www.zameen.com/Property/f_11_f_11_markaz_f_11_markaz_flat_for_sale_dubai_tower-8321583-3286-1.html,Flat,18000000,F-11,Islamabad,3,11.6,3158.11,3
122,https://www.zameen.com/Property/islamabad_h_13_mehar_apartment_for_sale-8332282-1039-1.html,Flat,9500000,H-13,Islamabad,3,7.1,1932.98,3
123,https://www.zameen.com/Property/e_11_fortune_empire_apartment_for_sale_at_fortune_empire_margalla_road_e_11_islamabad-8339681-9678-1.html,Flat,11500000,E-11,Islamabad,4,6.6,1796.86,2
124,https://www.zameen.com/Property/islamabad_i_11_c_type_flat_for_sale-8340757-706-1.html,Flat,7000000,I-11,Islamabad,2,4.7,1279.58,2
125,https://www.zameen.com/Property/islamabad_islamabad_expressway_the_palm_residential_apartment_for_sale-8348090-9014-1.html,Flat,4290000,Islamabad Expressway,Islamabad,2,2.8,762.3,1
126,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_defence_residency_dha_islamabad__flat_for_sale-8361526-339-1.html,Flat,5600000,DHA Defence,Islamabad,3,7.8,2123.56,3
127,https://www.zameen.com/Property/islamabad_korang_town_apartment_korang_town_for_sale-8372079-445-1.html,Flat,2400000,Korang Town,Islamabad,0,4.4,1197.9,2
128,https://www.zameen.com/Property/g_10_g_10_2_pha_flat_for_sale_in_g_10_2_d_type_900_sq_feet-8401247-3325-1.html,Flat,8500000,G-10,Islamabad,3,4.0,1089.0,2
129,https://www.zameen.com/Property/bahria_town_bahria_enclave_flat_at_royal_mall_and_residency-8406736-1705-1.html,Flat,6365000,Bahria Town,Islamabad,1,4.2,1143.45,1
130,https://www.zameen.com/Property/islamabad_i_12_pha_flat_islamabad_flat_for_sale-8423662-1418-1.html,Flat,1500000,I-12,Islamabad,2,4.0,1089.0,2
131,https://www.zameen.com/Property/islamabad_f_11_one_bed_flat_for_sale_in_al_safa_heights_2-8426067-163-1.html,Flat,7800000,F-11,Islamabad,1,4.0,1089.0,1
132,https://www.zameen.com/Property/islamabad_the_springs_the_spring_islamabad_2_bed_apartment_at_ground_available_for_sale-8434957-8153-1.html,Flat,8300000,The Springs,Islamabad,2,4.9,1334.03,2
133,https://www.zameen.com/Property/islamabad_g_15_corner_fully_furnished_flat_for_sale_in_khyber_3-8462231-764-1.html,Flat,4500000,G-15,Islamabad,0,2.0,544.5,2
134,https://www.zameen.com/Property/islamabad_h_13_meher_apartments_for_sale_in_block_a_sector_h_13_islamabad-8489172-1039-1.html,Flat,8500000,H-13,Islamabad,0,6.7,1824.08,4
135,https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_defense_residency_apartment_flat_for_sale-8498213-9914-1.html,Flat,4900000,DHA Defence,Islamabad,3,4.9,1334.03,2
136,https://www.zameen.com/Property/g_11_g_11_4_flat_for_sale_in_g_11_4_islamabad-8539042-3333-1.html,Flat,8000000,G-11,Islamabad,2,5.1,1388.48,2
137,https://www.zameen.com/Property/d_17_paradise_villa_apartments_paradise_villa_apartment_at_d17_islamabad-8571874-11039-1.html,Flat,5000000,D-17,Islamabad,3,6.9,1878.53,3
138,https://www.zameen.com/Property/islamabad_islamabad_expressway_flat_for_sale-8572041-9014-1.html,Flat,9500000,Islamabad Expressway,Islamabad,3,10.7,2913.09,3
139,https://www.zameen.com/Property/islamabad_h_13_a_spacious_studio_apartment_available_for_sale-8590736-1039-1.html,Flat,2500000,H-13,Islamabad,1,1.6,435.6,1
140,https://www.zameen.com/Property/i_11_i_11_1_pha_d_type_gf_flat_for_sale_at_main_double_road-8620654-9878-1.html,Flat,5200000,I-11,Islamabad,0,4.2,1143.45,2
141,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_5_flat_is_available_for_sale-8640098-3395-1.html,Flat,3000000,Ghauri Town,Islamabad,0,2.9,789.53,2
142,https://www.zameen.com/Property/f_8_the_centaurus_the_centaurus_fully_furnished_1_bedroom_apartment_available_for_rent-8166806-8349-4.html,Flat,125000,F-8,Islamabad,1,3.9,1061.78,1
