House_title,House_url,beds,baths,total_area,House_location,area_marla,Price,area_sqft
1 Kanal Luxury 3 Unit Double Unit House In The Most Secure Locality In Dha Phase 1 Sector A Islamabad,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_a_1_kanal_luxury_3_unit_double_unit_house_in_the_most_secure_locality_in_dha_phase_1_sector_a_islamabad-33809489-3189-1.html,8,8,1 Kanal,DHA Phase 1 - Sector A DHA Defence Phase 1,20,58000000,272.2
1 Kanal Luxury 3 Unit Double Unit House In The Most Secure Locality In Dha Phase 1 Sector A Islamabad,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_a_1_kanal_luxury_3_unit_double_unit_house_in_the_most_secure_locality_in_dha_phase_1_sector_a_islamabad-33809488-3189-1.html,8,8,1 Kanal,DHA Phase 1 - Sector A DHA Defence Phase 1,20,58000000,272.2
Luxurious 1 Kanal Sun Facing Back Open 6 Bed 2 Unit House Avaliable,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_a_luxurious_1_kanal_sun_facing_back_open_6_bed_2_unit_house_avaliable-34519095-3196-1.html,6,8,1 Kanal,DHA Phase 2 - Sector A DHA Defence Phase 2,20,75000000,272.2
New Stylish Owner Built Designer House On Prime Location,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_new_stylish_owner_built_designer_house_on_prime_location-30094145-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,66000000,272.2
Flat For Sale In DHA Defence,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_flat_for_sale_in_dha_defence-33567745-376-1.html,1,1,3.6 Marla,DHA Defence Phase 1 DHA Defence,3.6,10000000,979.92
High Quality Constructed One Kanal House Available For Sale,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_high_quality_constructed_one_kanal_house_available_for_sale-30891736-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,69500000,272.2
10 Marla Brand New House Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_sector_b_10_marla_brand_new_house_is_available_for_sale-34013040-8401-1.html,5,6,10 Marla,DHA Phase 5 - Sector B DHA Defence Phase 5,10,37000000,2722
10 Marla Brand New House Is Available For Sale In Dha Phase 5,https://www.zameen.com/Property/dha_defence_phase_5_dha_phase_5_sector_b_10_marla_brand_new_house_is_available_for_sale_in_dha_phase_5-34012946-8401-1.html,5,6,10 Marla,DHA Phase 5 - Sector B DHA Defence Phase 5,10,36000000,2722
House With Basement Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_a_house_with_basement_is_available_for_sale-33975394-3196-1.html,9,9,1 Kanal,DHA Phase 2 - Sector A DHA Defence Phase 2,20,75000000,272.2
26 Marla Brand House Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_b_26_marla_brand_house_available_for_sale-34504084-3197-1.html,9,9,1.3 Kanal,DHA Phase 2 - Sector B DHA Defence Phase 2,26,110000000,353.86
One Kanal Brand New House in Prime Location For Sale,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_one_kanal_brand_new_house_in_prime_location_for_sale-33659484-339-1.html,5,5,1 Kanal,DHA Defence Phase 2 DHA Defence,20,73000000,272.2
Akhtar Associates Offer One Kanal Brand New House For Sale At Idea Place .,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_akhtar_associates_offer_one_kanal_brand_new_house_for_sale_at_idea_place__-33854028-339-1.html,5,5,1 Kanal,DHA Defence Phase 2 DHA Defence,20,70000000,272.2
1 Kanal With 8 Marla Extra Land House Available For Sale In Dha Phase 2,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_g_1_kanal_with_8_marla_extra_land_house_available_for_sale_in_dha_phase_2-33854272-3202-1.html,6,7,1.4 Kanal,DHA Phase 2 - Sector G DHA Defence Phase 2,28,110000000,381.08
This Is Your Chance To Buy House In Dha Defence Phase 1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_this_is_your_chance_to_buy_house_in_dha_defence_phase_1-34576920-376-1.html,4,4,8 Marla,DHA Defence Phase 1 DHA Defence,8,32500000,2177.6
House For Sale In Dha 1,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_house_for_sale_in_dha_1-30384522-376-1.html,6,6,1 Kanal,DHA Defence Phase 1 DHA Defence,20,55000000,272.2
4500 Square Feet House In Dha Defence,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_a_4500_square_feet_house_in_dha_defence-29250343-3189-1.html,8,9,1 Kanal,DHA Phase 1 - Sector A DHA Defence Phase 1,20,65000000,272.2
1 Kanal Brand New Beautiful And Stylish Corner And With Basement House Up For Sale,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_beautiful_and_stylish_corner_and_with_basement_house_up_for_sale-34108240-339-1.html,6,7,1 Kanal,DHA Defence Phase 2 DHA Defence,20,67500000,272.2
Ready To Buy A House In Dha Defence Islamabad,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_f_ready_to_buy_a_house_in_dha_defence_islamabad-30805368-3201-1.html,6,8,1 Kanal,DHA Phase 2 - Sector F DHA Defence Phase 2,20,65000000,272.2
Brand New House For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_c_brand_new_house_for_sale-30806242-3198-1.html,6,8,1 Kanal,DHA Phase 2 - Sector C DHA Defence Phase 2,20,54800000,272.2
Brand New House For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_brand_new_house_for_sale-30729962-3200-1.html,6,8,1 Kanal,DHA Phase 2 - Sector E DHA Defence Phase 2,20,75000000,272.2
House for sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_house_for_sale-30875407-8399-1.html,5,5,10 Marla,DHA Phase 2 - Sector J DHA Defence Phase 2,10,41300000,2722
Prime Location New House For Sale,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_prime_location_new_house_for_sale-31146288-339-1.html,5,6,10 Marla,DHA Defence Phase 2 DHA Defence,10,41000000,2722
Brand New House For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_g_brand_new_house_for_sale-32199269-3202-1.html,7,9,1 Kanal,DHA Phase 2 - Sector G DHA Defence Phase 2,20,65000000,272.2
House For Sale Prime Location,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_a_house_for_sale_prime_location-32201037-3196-1.html,5,6,12 Marla,DHA Phase 2 - Sector A DHA Defence Phase 2,12,37000000,3266.4
Brand New House For Sale On Prime Location,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_brand_new_house_for_sale_on_prime_location-33000745-8399-1.html,5,3,6 Marla,DHA Phase 2 - Sector J DHA Defence Phase 2,6,27000000,1633.2
New Luxury Designer House Near Family Park,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_new_luxury_designer_house_near_family_park-29991602-339-1.html,6,8,1 Kanal,DHA Defence Phase 2 DHA Defence,20,85000000,272.2
Designer Double Storey House Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_c_designer_double_storey_house_is_available_for_sale-34453546-3198-1.html,5,5,10 Marla,DHA Phase 2 - Sector C DHA Defence Phase 2,10,46000000,2722
Main Blvd Double Storey House Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_d_main_blvd_double_storey_house_is_available_for_sale-34453545-3199-1.html,5,5,10 Marla,DHA Phase 2 - Sector D DHA Defence Phase 2,10,45000000,2722
Double Unit Corner House Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_h_double_unit_corner_house_is_available_for_sale-34265929-3203-1.html,6,7,1 Kanal,DHA Phase 2 - Sector H DHA Defence Phase 2,20,69000000,272.2
Double Storey House Is Available For Sale,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_j_double_storey_house_is_available_for_sale-34265931-8399-1.html,6,8,1.5 Kanal,DHA Phase 2 - Sector J DHA Defence Phase 2,30,117000000,408.3
"28 Marla Unique Designing, Stylish And Furnished Bungalow Up For Sale",https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_28_marla_unique_designing__stylish_and_furnished_bungalow_up_for_sale-34135830-339-1.html,6,7,1.4 Kanal,DHA Defence Phase 2 DHA Defence,28,105000000,381.08
