,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
8751,https://www.zameen.com/Property/e_11_e_11_2_brand_new_upper_portion_is_available_for_retn_e_11_2-16431934-3233-4.html,Upper Portion,100000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8752,https://www.zameen.com/Property/islamabad_g_11_g_11_3_new_upper_portion_nice_location-16433796-168-4.html,Upper Portion,32000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4.4 Marla,4.4,1197.9,2
8753,https://www.zameen.com/Property/islamabad_g_11_g_11_main_double_40x80_corner_house_upper_portion_available-16435635-168-4.html,Upper Portion,60000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",3,12 Marla,12.0,3267.01,3
8754,https://www.zameen.com/Property/islamabad_f_8_f_8_independent_upper_portion__for_rent-16435863-166-4.html,Upper Portion,200000,F-8,Islamabad,"F-8, Islamabad, Islamabad Capital",4,1 Kanal,20.0,5445.02,3
8755,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_lavish_design_1_kanal_upper_portion_for_rent-16437643-376-4.html,Upper Portion,45000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,1 Kanal,20.0,5445.02,3
8756,https://www.zameen.com/Property/f_11_f_11_2_tilled_flooring_portion_with_servant_quarter__is_available_for_rent-16439261-3283-4.html,Upper Portion,75000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8757,https://www.zameen.com/Property/islamabad_f_7_semi_furnished_3_beds_upper_portion_for_rent_in_f_7-16441782-165-4.html,Upper Portion,110000,F-7,Islamabad,"F-7, Islamabad, Islamabad Capital",3,2 Kanal,40.0,10890.04,3
8758,https://www.zameen.com/Property/e_11_e_11_4_e_11_4_out_class_upper_portion__2_bedroom__kitchen_tv_lounge_drawing_dining_washroom-16442472-3241-4.html,Upper Portion,40000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,8 Marla,8.0,2178.01,2
8759,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_b_dha_phase_2_sector_b_1_kanal_corner_upper_portion_for_rent_small_family-16442603-3197-4.html,Upper Portion,45000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,1 Kanal,20.0,5445.02,3
8760,https://www.zameen.com/Property/g_10_g_10_4_fully_furnished_upper_portion_available_for_rent_at_g_10_4_islamabad-16443181-3327-4.html,Upper Portion,80000,G-10,Islamabad,"G-10, Islamabad, Islamabad Capital",3,5 Marla,5.0,1361.25,3
8761,https://www.zameen.com/Property/islamabad_g_11_g_11_5_marla_brand_new_upper_portion_for_rent_real_pics-16445793-168-4.html,Upper Portion,40000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,5 Marla,5.0,1361.25,2
8762,https://www.zameen.com/Property/islamabad_g_11_g_11_25x40_upper_portion_for_rent_separate_meters-16445806-168-4.html,Upper Portion,28000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
8763,https://www.zameen.com/Property/islamabad_soan_garden_brand_new_10_marla_uper_portion_available_in_soan_garden-16446479-338-4.html,Upper Portion,25000,Soan Garden,Islamabad,"Soan Garden, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,2
8764,https://www.zameen.com/Property/islamabad_pakistan_town_35x70_brand_new_upper_portion_available_in_pakistan_town-16447600-1378-4.html,Upper Portion,32000,Pakistan Town,Islamabad,"Pakistan Town, Islamabad, Islamabad Capital",4,10 Marla,10.0,2722.51,3
8765,https://www.zameen.com/Property/g_11_g_11_markaz_3_bed_d_d_portion_is_available_for_rent_with_t_v_lounge_garage-16448731-3334-4.html,Upper Portion,60000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",3,12 Marla,12.0,3267.01,3
8766,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_d_an_excellent_house_with_wide_proportions_in_dha_2-16452533-3199-4.html,Upper Portion,50000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8767,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_designed_by_renowned_architect_owner_built_portion_dha_2_by_habro_islamabad-16452536-3200-4.html,Upper Portion,50000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8768,https://www.zameen.com/Property/islamabad_f_11_beautiful_new_upper_portion_3_bedroom_separate_gate-16452772-163-4.html,Upper Portion,99000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,1.3 Kanal,26.0,7078.53,3
8769,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_1_kanal_upper_portion_available_for_rent_in_dha_1_sector_a-16453680-376-4.html,Upper Portion,50000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,1 Kanal,20.0,5445.02,3
8770,https://www.zameen.com/Property/islamabad_g_10_g_10_beautiful_3_bed_portion_for_rent-16453808-167-4.html,Upper Portion,78000,G-10,Islamabad,"G-10, Islamabad, Islamabad Capital",0,1 Kanal,20.0,5445.02,0
8771,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_g_portion_for_rent_an_unbelievably_gorgeous_house_with_nice_interiors_in_dha_2__islamabad-16454217-3202-4.html,Upper Portion,40000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,1 Kanal,20.0,5445.02,3
8772,https://www.zameen.com/Property/islamabad_margalla_town_margalla_town_2_bed_1st_floor_5_marla_upper_portion_for_rent_30000-16454518-1028-4.html,Upper Portion,30000,Margalla Town,Islamabad,"Margalla Town, Islamabad, Islamabad Capital",2,5 Marla,5.0,1361.25,2
8773,https://www.zameen.com/Property/cbr_town_phase_1_cbr_town_phase_1_block_c_brand_new_30x60_upper_portion_available_in_cbr_town-16454871-3149-4.html,Upper Portion,25000,CBR Town,Islamabad,"CBR Town, Islamabad, Islamabad Capital",3,8 Marla,8.0,2178.01,2
8774,https://www.zameen.com/Property/islamabad_airport_avenue_housing_society_upper_portion_is_available_for_rent-16455677-13742-4.html,Upper Portion,25000,Airport Avenue Housing Society,Islamabad,"Airport Avenue Housing Society, Islamabad, Islamabad Capital",2,8 Marla,8.0,2178.01,2
