,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
24171,https://www.zameen.com/Property/islamabad_e_11_apartment_for_sale_in_e_11-16990068-329-1.html,Flat,9500000,E-11,Islamabad,"E-11, Islamabad, Islamabad Capital",2,9.7 Marla,9.7,2640.83,2
24196,https://www.zameen.com/Property/f_11_f_11_markaz_luxury_outclass_renovated_apartments_3_bedrooms_investor_price_for_sale_f11_markaz-16991803-3286-1.html,Flat,20000000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,12.7 Marla,12.7,3457.59,3
24198,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_3beds_flat_available_for_rent-16986730-10663-4.html,Flat,45000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",3,10 Marla,10.0,2722.51,3
24200,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_1_4beds_flat_available_for_rent-16986948-10663-4.html,Flat,50000,DHA Defence,Islamabad,"DHA Defence, Islamabad, Islamabad Capital",4,11.8 Marla,11.8,3212.56,4
24223,https://www.zameen.com/Property/islamabad_i_8_flat_is_available_for_rent-16987645-174-4.html,Flat,60000,I-8,Islamabad,"I-8, Islamabad, Islamabad Capital",0,4.7 Marla,4.7,1279.58,2
24224,https://www.zameen.com/Property/islamabad_i_8_flat_is_available_for_rent-16987646-174-4.html,Flat,65000,I-8,Islamabad,"I-8, Islamabad, Islamabad Capital",0,4.7 Marla,4.7,1279.58,2
24235,https://www.zameen.com/Property/islamabad_f_11_islamabad_f11_flat_available_for_rent-16987891-163-4.html,Flat,75000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,11.6 Marla,11.6,3158.11,3
24240,https://www.zameen.com/Property/islamabad_f_11_islamabad_2_bed_flat_available_for_rent-16988085-163-4.html,Flat,60000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,8.9 Marla,8.9,2423.03,2
24293,https://www.zameen.com/Property/g_15_zarkon_heights_2_bed_room_apartment-16990343-10169-4.html,Flat,34500,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",2,5.5 Marla,5.5,1497.38,2
24311,https://www.zameen.com/Property/g_15_zarkon_heights_3_bed_room_apartment-16991054-10169-4.html,Flat,51000,G-15,Islamabad,"G-15, Islamabad, Islamabad Capital",3,8.9 Marla,8.9,2423.03,3
