,Price,House_location,baths,beds,total_sqft,kitchens,tv_lounge,store
17430,6500000,Sadiqabad,3,6,952,1,1,0
17431,8000000,Sadiqabad,2,4,1361,2,2,1
17432,9850000,Sadiqabad,5,6,1633,2,2,1
17433,9000000,Sadiqabad,3,6,1361,2,2,1
17439,6500000,Sadiqabad,2,2,816,1,1,0
17440,9500000,Sadiqabad,4,5,1089,1,2,0
17441,6500000,Sadiqabad,4,4,1197,1,2,0
17442,6500000,Sadiqabad,3,4,1089,1,2,0
17443,12000000,Sadiqabad,3,5,1361,2,2,1
17444,9500000,Sadiqabad,2,4,1089,1,2,0
17449,15000000,Saidpur Road,3,7,2178,2,2,1
17450,20000000,Saidpur Road,3,6,2450,2,2,1
17451,9000000,Saidpur Road,3,4,816,1,1,0
17452,35000000,Saidpur Road,6,6,2858,2,2,1
17454,32500000,Saidpur Road,4,5,2722,2,2,1
17455,31500000,Saidpur Road,7,6,2994,2,2,1
17457,72600000,Saidpur Road,3,3,5989,2,2,1
17461,8400000,Saidpur Road,2,4,1089,1,2,0
17463,6000000,Samarzar Housing Society,3,3,1905,2,2,1
17464,3500000,Samarzar Housing Society,2,2,1361,2,2,1
17465,4900000,Samarzar Housing Society,3,2,1633,2,2,1
17466,5200000,Samarzar Housing Society,2,2,1361,2,2,1
17467,4000000,Samarzar Housing Society,3,2,1361,2,2,1
17468,9500000,Samarzar Housing Society,5,4,2722,2,2,1
17469,4000000,Samarzar Housing Society,3,3,1361,2,2,1
17470,4500000,Samarzar Housing Society,2,2,1361,2,2,1
17471,3650000,Samarzar Housing Society,3,2,1633,2,2,1
17472,5500000,Samarzar Housing Society,2,2,1633,2,2,1
17473,4000000,Samarzar Housing Society,2,2,1361,2,2,1
17474,4200000,Samarzar Housing Society,2,2,1361,2,2,1
17475,5000000,Samarzar Housing Society,3,3,1633,2,2,1
17477,5500000,Samarzar Housing Society,2,2,1905,2,2,1
17478,4300000,Samarzar Housing Society,2,2,1361,2,2,1
17479,4200000,Samarzar Housing Society,2,2,1361,2,2,1
17480,4200000,Samarzar Housing Society,3,2,1497,2,2,1
17481,4200000,Samarzar Housing Society,3,2,1361,2,2,1
17483,4000000,Samarzar Housing Society,3,2,1361,2,2,1
17484,3000000,Samarzar Housing Society,2,2,1089,1,2,0
17485,2500000,Samarzar Housing Society,2,2,1089,1,2,0
17486,3500000,Samarzar Housing Society,2,2,952,1,1,0
17488,13500000,Samarzar Housing Society,8,8,3539,2,2,1
17490,4300000,Samarzar Housing Society,3,2,1361,2,2,1
17491,5000000,Samarzar Housing Society,2,2,1361,2,2,1
17497,1800000,Samarzar Housing Society,2,2,816,1,1,0
