,Price,House_location,baths,beds,area
326,4000000,Bahria Town,2,1,571
327,4000000,Bahria Town,2,1,571
328,4000000,Bahria Town,2,1,571
329,4000000,Bahria Town,2,1,571
330,4000000,Bahria Town,2,1,571
331,4000000,Bahria Town,2,1,571
332,4000000,Bahria Town,2,1,571
333,4000000,Bahria Town,2,1,571
334,4000000,Bahria Town,2,1,571
335,4000000,Bahria Town,2,1,571
336,4000000,Bahria Town,2,1,571
337,3900000,Bahria Town,1,1,653
338,3900000,Bahria Town,1,1,653
339,6000000,Bahria Town,1,1,1197
340,6500000,Bahria Town,2,2,1197
341,3900000,Bahria Town,1,1,653
342,16000000,Bahria Town,3,3,3620
343,8000000,Bahria Town,3,2,1197
344,3900000,Bahria Town,1,1,653
345,4123000,Bahria Town,1,1,598
346,5800000,Bahria Town,1,1,1007
347,3600000,Bahria Town,1,1,490
348,4650000,Bahria Town,1,1,1034
349,3201000,Bahria Town,2,2,1306
350,3800000,Bahria Town,1,1,653
351,8500000,Bahria Town,2,2,1089
352,4800000,Bahria Town Rawalpindi,1,1,1034
353,8500000,Bahria Town Rawalpindi,1,1,980
354,7500000,Bahria Town Rawalpindi,2,2,1497
355,3000000,Bahria Town Rawalpindi,1,1,408
356,1500000,Bahria Town Rawalpindi,1,1,353
357,4000000,Bahria Town Rawalpindi,1,1,544
358,5500000,Bahria Town Rawalpindi,2,2,1089
359,3500000,Bahria Town Rawalpindi,1,1,871
360,7500000,Bahria Town Rawalpindi,3,3,1279
361,6000000,Bahria Town Rawalpindi,2,2,1089
362,3800000,Bahria Town Rawalpindi,1,1,789
363,2700000,Bahria Town Rawalpindi,1,1,490
364,2600000,Bahria Town Rawalpindi,2,2,816
365,2000000,Bahria Town Rawalpindi,1,1,544
366,3300000,Bahria Town Rawalpindi,1,2,952
367,5200000,Bahria Town Rawalpindi,2,2,1197
368,4200000,Bahria Town Rawalpindi,2,2,952
369,5000000,Bahria Town Rawalpindi,2,2,1197
370,3600000,Bahria Town Rawalpindi,2,2,843
371,3550000,Bahria Town Rawalpindi,2,2,735
372,5100000,Bahria Town Rawalpindi,2,2,1334
373,6000000,Bahria Town Rawalpindi,2,2,1279
374,3500000,Bahria Town Rawalpindi,1,1,816
375,3500000,Bahria Town Rawalpindi,1,1,680
376,2500000,Bahria Town Rawalpindi,1,1,408
377,12000000,Bahria Town Rawalpindi,3,3,2178
378,3800000,Bahria Town Rawalpindi,1,1,598
379,5000000,Bahria Town Rawalpindi,2,2,1197
380,4200000,Bahria Town Rawalpindi,1,1,816
381,2600000,Bahria Town Rawalpindi,1,1,326
382,4000000,Bahria Town Rawalpindi,1,1,925
383,15500000,Bahria Town Rawalpindi,3,3,2994
384,3800000,Bahria Town Rawalpindi,1,1,762
385,6700000,Bahria Town Rawalpindi,2,1,925
386,8000000,Bahria Town Rawalpindi,2,2,1687
387,6800000,Bahria Town Rawalpindi,2,1,925
388,3300000,Bahria Town Rawalpindi,1,2,952
389,9500000,Bahria Town Rawalpindi,3,3,1932
390,2000000,Bahria Town Rawalpindi,1,1,435
391,3800000,Bahria Town Rawalpindi,1,1,653
392,3200000,Bahria Town Rawalpindi,1,2,952
393,2500000,Bahria Town Rawalpindi,1,1,490
394,8500000,Bahria Town Rawalpindi,2,2,1361
395,2600000,Bahria Town Rawalpindi,2,2,789
396,3400000,Bahria Town Rawalpindi,2,2,871
397,4700000,Bahria Town Rawalpindi,1,1,843
398,5500000,Bahria Town Rawalpindi,2,2,1143
399,3150000,Bahria Town Rawalpindi,1,1,735
400,4500000,Bahria Town Rawalpindi,1,1,816
401,10500000,Bahria Town Rawalpindi,3,2,1579
402,7800000,Bahria Town Rawalpindi,2,1,980
403,9000000,Bahria Town Rawalpindi,2,1,1061
404,2500000,Bahria Town Rawalpindi,2,2,816
405,3700000,Bahria Town Rawalpindi,1,2,952
406,3500000,Bahria Town Rawalpindi,1,1,789
407,8500000,Bahria Town Rawalpindi,1,1,952
408,3255000,Bahria Town Rawalpindi,1,1,571
409,3500000,Bahria Town Rawalpindi,1,1,789
410,16900000,Bahria Town Rawalpindi,3,3,2559
411,18900000,Bahria Town Rawalpindi,3,3,2858
412,10600000,Bahria Town Rawalpindi,2,2,1497
413,13000000,Bahria Town Rawalpindi,3,3,2286
414,6400000,Bahria Town Rawalpindi,2,1,1007
415,3700000,Bahria Town Rawalpindi,1,2,1361
416,5000000,Bahria Town Rawalpindi,2,2,952
417,2860000,Bahria Town Rawalpindi,1,1,353
418,8400000,Bahria Town Rawalpindi,2,1,1007
419,3700000,Bahria Town Rawalpindi,2,2,843
420,19000000,Bahria Town Rawalpindi,2,2,2178
421,2500000,Bahria Town Rawalpindi,1,2,1361
422,15000000,Bahria Town Rawalpindi,2,2,1987
423,8000000,Bahria Town Rawalpindi,2,2,1579
424,2800000,Bahria Town Rawalpindi,1,2,952
425,10000000,Bahria Town Rawalpindi,3,3,1932
426,2200000,Bahria Town Rawalpindi,1,1,735
427,2200000,Bahria Town Rawalpindi,1,2,952
428,4500000,Bahria Town Rawalpindi,2,2,1143
429,2200000,Bahria Town Rawalpindi,1,1,326
430,3150000,Bahria Town Rawalpindi,1,1,816
431,4500000,Bahria Town Rawalpindi,1,1,952
432,3200000,Bahria Town Rawalpindi,2,2,762
433,3800000,Bahria Town Rawalpindi,2,2,735
434,4000000,Bahria Town Rawalpindi,1,1,925
435,5900000,Bahria Town Rawalpindi,2,2,1279
436,5500000,Bahria Town Rawalpindi,2,2,1334
437,6300000,Bahria Town Rawalpindi,2,2,1143
438,2500000,Bahria Town Rawalpindi,1,2,1361
439,7500000,Bahria Town Rawalpindi,2,1,980
440,1900000,Bahria Town Rawalpindi,1,2,816
441,4200000,Bahria Town Rawalpindi,1,1,1442
442,5000000,Bahria Town Rawalpindi,2,2,898
443,6500000,Bahria Town Rawalpindi,2,2,1143
444,5000000,Bahria Town Rawalpindi,2,2,1034
