,Price,House_location,baths,beds,total_sqft,portion,garage
600,50000,G-13,3,3,3539,1,2
601,31000,other,3,3,2722,1,1
604,37000,Korang Town,4,3,3267,1,2
605,25000,PWD Housing Scheme,2,2,2722,1,1
606,20000,G-8,1,2,1361,1,0
607,35000,Bahria Town,3,3,2178,1,1
608,25000,PWD Housing Scheme,2,2,2722,1,1
610,50000,Bani Gala,4,4,2722,1,1
611,35000,G-13,2,2,1905,1,1
614,20000,FECHS,4,4,2178,1,1
617,35000,Shehzad Town,3,3,2178,1,1
619,60000,I-8,3,3,3267,1,2
622,60000,I-8,3,3,3267,1,2
624,24000,Chatha Bakhtawar,2,2,1361,1,0
627,36000,Bahria Town,3,2,2722,1,1
628,65000,G-10,3,3,2722,1,1
632,25000,G-10,1,2,1633,1,1
633,25000,other,3,3,2722,1,1
635,60000,I-8,3,3,544,1,0
638,40000,other,3,3,3267,1,2
639,24000,National Police Foundation O-9,3,3,2722,1,1
640,27000,Pakistan Town,2,2,3267,1,2
644,20000,Ghauri Town,3,2,1361,1,0
645,24000,G-13,3,3,1089,1,0
646,30000,G-11,2,2,1633,1,1
648,65000,I-8,2,3,3267,1,2
649,21000,Korang Town,3,3,1905,1,1
650,15000,PWD Housing Scheme,2,2,1361,1,0
652,16000,Bhara kahu,3,3,2178,1,1
654,33500,other,4,3,3267,1,2
657,26000,G-15,2,2,1905,1,1
659,20000,Soan Garden,2,2,1633,1,1
662,40000,G-13,3,3,2722,1,1
668,30000,DHA Defence,3,3,2722,1,1
669,35000,Naval Anchorage,3,3,3811,1,2
672,28000,Korang Town,4,3,3267,1,2
673,25000,PWD Housing Scheme,3,2,2722,1,1
674,21000,PWD Housing Scheme,3,2,1905,1,1
676,40000,D-12,4,4,2722,1,1
679,28000,PWD Housing Scheme,3,2,2722,1,1
680,120000,other,2,2,816,1,0
682,26000,Korang Town,3,2,2722,1,1
683,23000,PWD Housing Scheme,3,2,2722,1,1
684,15000,National Police Foundation O-9,2,2,1361,1,0
685,24000,PWD Housing Scheme,3,2,2722,1,1
687,49000,G-11,2,3,1905,1,1
688,42000,G-13,3,3,2994,1,2
689,30000,Pakistan Town,3,3,2722,1,1
690,32000,National Police Foundation O-9,3,3,2722,1,1
696,40000,G-6,3,3,2722,1,1
697,20000,F-17,3,3,1905,1,1
699,45000,G-9,2,2,3267,1,2
703,26000,PWD Housing Scheme,2,2,2722,1,1
705,45000,DHA Defence,4,4,3620,1,2
706,33000,DHA Defence,3,3,2722,1,1
708,22000,Ghauri Town,2,2,1361,1,0
709,20000,I-10,1,2,1824,1,1
712,35000,B-17,3,3,3865,1,2
717,22000,Chatha Bakhtawar,3,2,1361,1,0
720,85000,other,4,4,2722,1,1
725,50000,other,3,3,2722,1,1
730,15000,Ghauri Town,3,2,1089,1,0
732,33000,G-13,3,3,2178,1,1
734,14000,H-13,2,2,1633,1,1
735,20000,H-13,2,3,1633,1,1
736,17000,H-13,2,3,1361,1,0
738,120000,G-10,4,4,3267,1,2
740,22000,PWD Housing Scheme,4,3,2722,1,1
743,50000,G-9,2,2,3865,1,2
746,35000,G-14,3,2,2722,1,1
749,18000,H-13,2,2,1361,1,0
750,45000,G-13,3,3,3539,1,2
751,33000,G-13,3,3,1905,1,1
752,20000,Soan Garden,3,2,2722,1,1
760,60000,G-10,3,3,3267,1,2
761,25000,B-17,3,3,3021,1,2
762,65500,G-10,3,3,3267,1,2
764,25000,H-13,2,2,1361,1,0
767,42000,G-13,3,3,2722,1,1
768,35000,B-17,3,3,2722,1,1
770,35000,G-8,1,2,3267,1,2
772,50000,E-11,3,2,2178,1,1
773,20000,H-13,3,3,1361,1,0
774,55000,G-11,2,3,1905,1,1
775,22000,G-14,3,2,1361,1,0
776,20000,Soan Garden,2,2,1633,1,1
778,65000,I-8,3,3,2994,1,2
779,45000,Margalla Town,4,4,2722,1,1
780,25500,G-11,2,2,1225,1,0
781,28000,Soan Garden,3,3,2994,1,2
782,35000,G-14,3,3,2178,1,1
783,33000,G-13,3,3,1905,1,1
784,32000,G-13,2,3,1905,1,1
785,45000,G-13,3,3,2722,1,1
786,40000,G-13,3,3,3267,1,2
787,45000,G-13,3,3,3267,1,2
788,24000,G-13,2,2,1089,1,0
789,22000,G-13,2,2,1089,1,0
799,20000,Soan Garden,3,2,1905,1,1
803,60000,F-11,3,3,2722,1,1
808,60000,I-8,3,3,3375,1,2
810,27000,I-10,1,2,1633,1,1
811,33000,I-10,3,2,1361,1,0
812,30000,G-15,3,3,2178,1,1
815,38000,G-9,2,2,1905,1,1
816,60000,I-8,3,3,3811,1,2
817,35000,Naval Anchorage,2,2,2722,1,1
819,22000,F-17,3,3,2178,1,1
820,30000,G-15,4,4,2178,1,1
822,75000,I-8,3,3,3811,1,2
823,16000,Ghauri Town,2,2,1361,1,0
824,33000,G-11,2,2,1361,1,0
857,33000,I-9,2,2,2722,1,1
900,60000,I-8,3,3,2994,1,2
901,45000,E-11,2,2,2178,1,1
902,55000,G-11,3,3,2722,1,1
903,36000,G-11,3,3,2178,1,1
910,19000,FECHS,3,2,1905,1,1
911,30000,FECHS,3,3,3267,1,2
915,20000,Pakistan Town,3,3,1633,1,1
960,30000,G-9,2,2,1905,1,1
961,50000,other,2,3,3267,1,2
962,28000,Margalla Town,3,3,1361,1,0
963,85000,G-9,4,5,3811,1,2
964,26000,D-12,2,2,1089,1,0
970,24000,CBR Town,3,2,1905,1,1
971,24000,G-13,2,2,1633,1,1
972,60000,I-8,3,3,3267,1,2
975,25000,F-11,1,1,2722,1,1
980,12000,other,2,2,1089,1,0
981,17000,Ghauri Town,2,2,1361,1,0
983,18000,Ghauri Town,3,2,1361,1,0
989,19000,Ghauri Town,2,2,1361,1,0
1000,20000,FECHS,3,2,1905,1,1
1001,30000,FECHS,4,3,3267,1,2
1002,16000,National Police Foundation O-9,2,2,1361,1,0
1003,15000,National Police Foundation O-9,2,2,1361,1,0
