,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
464,1 Kanal House for Sale,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-583003,3,3,1,DHA Phase 2 Islamabad,March 14 2022,180000,DHA Phase 2 ,1 Kanal House , Sale,1,Kanal House ,Kanal,House 
465,850 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-850-sqft-apartment-for-rent-583047,2,2,1,DHA Phase 2 Islamabad,March 14 2022,35000,DHA Phase 2 ,850 Sqft Apartment , Rent,850,Sqft Apartment ,Sqft,Apartment 
466,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-583009,3,3,1,DHA Phase 2 Islamabad,March 14 2022,120000,DHA Phase 2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
467,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-3-1-kanal-house-for-rent-583247,4,4,2,F-8/3 Islamabad,March 14 2022,550000,F-8/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
468,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-8-1-1-kanal-basement-for-rent-583257,4,4,1,F-8/1 Islamabad,March 14 2022,400000,F-8/1 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
469,666 Sqyd Basement for Rent,https://www.graana.com/property/islamabad-f-7-1-666-sqyd-basement-for-rent-583239,3,3,1,F-7/1 Islamabad,March 14 2022,250000,F-7/1 ,666 Sqyd Basement , Rent,666,Sqyd Basement ,Sqyd,Basement 
470,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-lower-portion-for-rent-583235,3,3,1,G-13/3 Islamabad,March 14 2022,85000,G-13/3 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
471,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-582734,3,3,0,DHA Phase 2 Islamabad,March 14 2022,95000,DHA Phase 2 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
472,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-11-1-1-kanal-house-for-rent-518368,5,5,1,F-11/1 Islamabad,March 14 2022,200000,F-11/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
473,500 Sq. Yd. Lower Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-500-sqyd-lower-portion-for-rent-518319,3,3,1,F-11/2 Islamabad,March 14 2022,150000,F-11/2 ,500 Sq. Yd. Lower Portion , Rent,500,Sq. Yd. Lower Portion ,Sq.,Yd. Lower Portion 
474,16 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-16-marla-upper-portion-for-rent-518313,3,3,1,F-11/1 Islamabad,March 14 2022,95000,F-11/1 ,16 Marla Upper Portion , Rent,16,Marla Upper Portion ,Marla,Upper Portion 
475,16 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-16-marla-lower-portion-for-rent-518309,5,5,1,F-11/2 Islamabad,March 14 2022,150000,F-11/2 ,16 Marla Lower Portion , Rent,16,Marla Lower Portion ,Marla,Lower Portion 
476,26 Marla House for Rent,https://www.graana.com/property/islamabad-f-11-2-26-marla-house-for-rent-518303,6,6,1,F-11/2 Islamabad,March 14 2022,300000,F-11/2 ,26 Marla House , Rent,26,Marla House ,Marla,House 
477,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-1-kanal-house-for-rent-518275,6,6,1,F-7/1 Islamabad,March 14 2022,500000,F-7/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
478,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-3-1-kanal-house-for-rent-518244,7,7,1,F-8/3 Islamabad,March 14 2022,500000,F-8/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
479,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-518188,2,2,1,G-13/2 Islamabad,March 14 2022,65000,G-13/2 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
480,26 Marla House for Rent,https://www.graana.com/property/islamabad-f-11-2-26-marla-house-for-rent-518303,6,6,1,F-11/2 Islamabad,March 14 2022,300000,F-11/2 ,26 Marla House , Rent,26,Marla House ,Marla,House 
481,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-1-kanal-house-for-rent-518275,6,6,1,F-7/1 Islamabad,March 14 2022,500000,F-7/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
482,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-3-1-kanal-house-for-rent-518244,7,7,1,F-8/3 Islamabad,March 14 2022,500000,F-8/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
483,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-upper-portion-for-rent-518188,2,2,1,G-13/2 Islamabad,March 14 2022,65000,G-13/2 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
484,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-1-kanal-upper-portion-for-rent-518186,3,3,1,G-13/2 Islamabad,March 14 2022,130000,G-13/2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
485,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-14-marla-upper-portion-for-rent-518176,3,3,1,G-13/2 Islamabad,March 14 2022,90000,G-13/2 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
486,14 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-house-for-rent-518902,6,7,2,G-13/3 Islamabad,March 14 2022,200000,G-13/3 ,14 Marla House , Rent,14,Marla House ,Marla,House 
487,14 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-basement-for-rent-518898,3,3,1,G-13/3 Islamabad,March 14 2022,65000,G-13/3 ,14 Marla Basement , Rent,14,Marla Basement ,Marla,Basement 
488,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-house-for-rent-518896,4,5,1,G-13/2 Islamabad,March 14 2022,90000,G-13/2 ,7 Marla House , Rent,7,Marla House ,Marla,House 
489,3 Marla House for Rent,https://www.graana.com/property/islamabad-d-12-4-3-marla-house-for-rent-518985,4,4,0,D-12/4 Islamabad,March 14 2022,85000,D-12/4 ,3 Marla House , Rent,3,Marla House ,Marla,House 
490,1400 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-4-1400-sqft-apartment-for-rent-519124,2,2,1,E-11/4 Islamabad,March 14 2022,65000,E-11/4 ,1400 Sqft Apartment , Rent,1400,Sqft Apartment ,Sqft,Apartment 
491,6 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-6-marla-lower-portion-for-rent-582188,3,3,1,E-11 Islamabad,March 14 2022,35000,E-11 ,6 Marla Lower Portion , Rent,6,Marla Lower Portion ,Marla,Lower Portion 
492,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-kanal-upper-portion-for-rent-582648,2,3,1,F-11 Islamabad,March 14 2022,75000,F-11 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
493,14 Marla House for Rent,https://www.graana.com/property/islamabad-d-12-14-marla-house-for-rent-582708,6,6,4,D-12 Islamabad,March 14 2022,325000,D-12 ,14 Marla House , Rent,14,Marla House ,Marla,House 
494,5 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-5-marla-house-for-rent-582878,4,4,1,Bahria Enclave Islamabad,March 14 2022,60000,Bahria Enclave ,5 Marla House , Rent,5,Marla House ,Marla,House 
495,5 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-2-5-marla-lower-portion-for-rent-581651,3,3,1,G-11/2 Islamabad,March 11 2022,42000,G-11/2 ,5 Marla Lower Portion , Rent,5,Marla Lower Portion ,Marla,Lower Portion 
496,5 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-11-2-5-marla-upper-portion-for-rent-581655,2,2,1,G-11/2 Islamabad,March 11 2022,65000,G-11/2 ,5 Marla Upper Portion , Rent,5,Marla Upper Portion ,Marla,Upper Portion 
497,800 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-g-10-2-800-sqyd-upper-portion-for-rent-581730,3,3,1,G-10/2 Islamabad,March 11 2022,114999,G-10/2 ,800 Sqyd Upper Portion , Rent,800,Sqyd Upper Portion ,Sqyd,Upper Portion 
498,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-4-7-marla-lower-portion-for-rent-581686,3,3,1,E-11/4 Islamabad,March 11 2022,110000,E-11/4 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
499,7 Marla Basement for Rent,https://www.graana.com/property/islamabad-e-11-4-7-marla-basement-for-rent-581691,3,3,1,E-11/4 Islamabad,March 11 2022,90000,E-11/4 ,7 Marla Basement , Rent,7,Marla Basement ,Marla,Basement 
500,800 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-800-sqft-apartment-for-rent-581702,2,3,1,E-11/2 Islamabad,March 11 2022,45000,E-11/2 ,800 Sqft Apartment , Rent,800,Sqft Apartment ,Sqft,Apartment 
501,6 Marla House for Rent,https://www.graana.com/property/islamabad-i-10-6-marla-house-for-rent-479171,2,1,1,I-10 Islamabad,March 11 2022,30000,I-10 ,6 Marla House , Rent,6,Marla House ,Marla,House 
502,7 Marla Residential Basement for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-basement-for-rent-480223,2,2,1,G-13 Islamabad,March 11 2022,50000,G-13 ,7 Marla Residential Basement , Rent,7,Marla Residential Basement ,Marla,Residential Basement 
503,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-upper-portion-for-rent-582203,3,3,0,DHA Phase 2 Islamabad,March 11 2022,60000,DHA Phase 2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
504,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-14-marla-upper-portion-for-rent-480624,3,3,1,G-13/3 Islamabad,March 11 2022,80000,G-13/3 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
505,750 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-750-sqft-apartment-for-rent-581846,1,1,0,Bahria Town Phase 4 Islamabad,March 11 2022,80000,Bahria Town Phase 4 ,750 Sqft Apartment , Rent,750,Sqft Apartment ,Sqft,Apartment 
506,4 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-marla-upper-portion-for-rent-481061,2,2,1,G-13 Islamabad,March 11 2022,32000,G-13 ,4 Marla Upper Portion , Rent,4,Marla Upper Portion ,Marla,Upper Portion 
507,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-3-10-marla-upper-portion-for-rent-481673,3,3,1,G-13/3 Islamabad,March 11 2022,65000,G-13/3 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
508,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-14-marla-lower-portion-for-rent-481666,3,3,1,G-13/2 Islamabad,March 11 2022,90000,G-13/2 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
509,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-7-marla-house-for-rent-481008,6,6,1,G-13 Islamabad,March 11 2022,100000,G-13 ,7 Marla House , Rent,7,Marla House ,Marla,House 
510,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-house-for-rent-480620,4,5,1,G-13/2 Islamabad,March 11 2022,90000,G-13/2 ,7 Marla House , Rent,7,Marla House ,Marla,House 
511,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-soan-garden-block-a-1-kanal-lower-portion-for-rent-581882,3,3,1,Soan Garden Block A Islamabad,March 11 2022,35000,Soan Garden Block A ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
512,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-1-kanal-upper-portion-for-rent-480619,3,3,1,G-13/4 Islamabad,March 11 2022,85000,G-13/4 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
513,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-soan-garden-block-a-1-kanal-upper-portion-for-rent-581875,3,3,1,Soan Garden Block A Islamabad,March 11 2022,45000,Soan Garden Block A ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
