,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
514,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-1-kanal-upper-portion-for-rent-480615,3,3,1,G-13/2 Islamabad,March 11 2022,75000,G-13/2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
515,7 Marla Residential Basement for Rent,https://www.graana.com/property/islamabad-g-13-3-7-marla-basement-for-rent-480552,2,2,1,G-13/3 Islamabad,March 11 2022,48000,G-13/3 ,7 Marla Residential Basement , Rent,7,Marla Residential Basement ,Marla,Residential Basement 
516,1545 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-zarkon-heights-1545-sqft-apartment-for-rent-384310,3,3,1,Zarkon Heights Islamabad,March 11 2022,55000,Zarkon Heights ,1545 Sqft Apartment , Rent,1545,Sqft Apartment ,Sqft,Apartment 
517,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-14-marla-lower-portion-for-rent-581539,3,3,1,G-13/2 Islamabad,March 11 2022,90000,G-13/2 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
518,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-d-12-1-14-marla-house-for-rent-581741,3,3,1,D-12/1 Islamabad,March 11 2022,110000,D-12/1 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
519,6 Marla Apartment for Rent,https://www.graana.com/property/islamabad-e-11-6-marla-apartment-for-rent-581280,2,2,1,E-11 Islamabad,March 10 2022,27000,E-11 ,6 Marla Apartment , Rent,6,Marla Apartment ,Marla,Apartment 
520,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-kanal-house-for-rent-580740,6,6,2,F-7 Islamabad,March 10 2022,450000,F-7 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
521,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-kanal-house-for-rent-580746,6,6,2,F-7 Islamabad,March 10 2022,550000,F-7 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
522,8 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-bahria-enclave-8-marla-lower-portion-for-rent-580787,3,3,1,Bahria Enclave Islamabad,March 10 2022,80000,Bahria Enclave ,8 Marla Lower Portion , Rent,8,Marla Lower Portion ,Marla,Lower Portion 
523,10 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-10-marla-house-for-rent-580786,6,6,1,Bahria Enclave Islamabad,March 10 2022,250000,Bahria Enclave ,10 Marla House , Rent,10,Marla House ,Marla,House 
524,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-kanal-house-for-rent-580750,4,4,1,F-7 Islamabad,March 10 2022,700000,F-7 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
525,8 Marla House for Rent,https://www.graana.com/property/islamabad-bahria-enclave-8-marla-house-for-rent-580789,5,5,1,Bahria Enclave Islamabad,March 10 2022,150000,Bahria Enclave ,8 Marla House , Rent,8,Marla House ,Marla,House 
526,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-10-marla-lower-portion-for-rent-580690,3,3,1,G-13/4 Islamabad,March 10 2022,70000,G-13/4 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
527,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-4-4-marla-lower-portion-for-rent-580672,5,3,1,G-13/4 Islamabad,March 10 2022,60000,G-13/4 ,4 Marla Lower Portion , Rent,4,Marla Lower Portion ,Marla,Lower Portion 
528,10 Marla House for Rent,https://www.graana.com/property/islamabad-e-18-10-marla-house-for-rent-580433,3,3,0,E-18 Islamabad,March 10 2022,30000,E-18 ,10 Marla House , Rent,10,Marla House ,Marla,House 
529,9 Marla House for Rent,https://www.graana.com/property/islamabad-e-18-9-marla-house-for-rent-580431,7,6,0,E-18 Islamabad,March 10 2022,45000,E-18 ,9 Marla House , Rent,9,Marla House ,Marla,House 
530,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-15-1-14-marla-upper-portion-for-rent-578683,3,3,1,G-15/1 Islamabad,March 10 2022,60000,G-15/1 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
531,7 Marla Basement for Rent,https://www.graana.com/property/islamabad-g-15-1-7-marla-basement-for-rent-578684,2,2,1,G-15/1 Islamabad,March 10 2022,18000,G-15/1 ,7 Marla Basement , Rent,7,Marla Basement ,Marla,Basement 
532,800 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-800-sqft-apartment-for-rent-580362,2,2,1,E-11 Islamabad,March 10 2022,40000,E-11 ,800 Sqft Apartment , Rent,800,Sqft Apartment ,Sqft,Apartment 
533,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-15-2-14-marla-lower-portion-for-rent-578688,3,3,1,G-15/2 Islamabad,March 9 2022,80000,G-15/2 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
534,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-500-sqyd-house-for-rent-579092,3,3,1,F-6 Islamabad,March 9 2022,350000,F-6 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
535,4 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-4-marla-lower-portion-for-rent-579814,2,2,1,G-13/1 Islamabad,March 9 2022,30000,G-13/1 ,4 Marla Lower Portion , Rent,4,Marla Lower Portion ,Marla,Lower Portion 
